Model,Timestep,Total_Survival_%,Suff_Survival_%,Insuff_Survival_%,Surviving_Pool_is_Insuff_%
Qwen2.5-Math-1.5B,0,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B,2,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B,4,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B,8,99.8076923076923,99.61538461538461,100.0,50.09633911368015
Qwen2.5-Math-1.5B,16,99.71153846153847,99.42307692307692,100.0,50.14464802314368
Qwen2.5-Math-1.5B,32,99.32692307692308,98.84615384615385,99.8076923076923,50.242013552758955
Qwen2.5-Math-1.5B,64,95.76923076923077,96.53846153846153,95.0,49.59839357429719
Qwen2.5-Math-1.5B,128,77.21153846153847,76.73076923076924,77.6923076923077,50.31133250311333
Qwen2.5-Math-1.5B,256,41.44230769230769,38.07692307692307,44.80769230769231,54.060324825986086
Qwen2.5-Math-1.5B-Instruct,0,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,2,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,4,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,8,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,16,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,32,100.0,100.0,100.0,50.0
Qwen2.5-Math-1.5B-Instruct,64,99.8076923076923,100.0,99.61538461538461,49.90366088631985
Qwen2.5-Math-1.5B-Instruct,128,94.03846153846153,98.26923076923076,89.8076923076923,47.75051124744376
Qwen2.5-Math-1.5B-Instruct,256,53.65384615384615,46.92307692307692,60.38461538461538,56.272401433691755
Meta-Llama-3.1-8B-Instruct,0,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,2,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,4,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,8,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,16,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,32,100.0,100.0,100.0,50.0
Meta-Llama-3.1-8B-Instruct,64,99.32692307692308,99.8076923076923,98.84615384615385,49.757986447241045
Meta-Llama-3.1-8B-Instruct,128,87.98076923076923,84.61538461538461,91.34615384615384,51.91256830601093
Meta-Llama-3.1-8B-Instruct,256,40.0,27.115384615384613,52.88461538461539,66.10576923076923
gemma-3-12b-it,0,100.0,100.0,100.0,50.0
gemma-3-12b-it,2,100.0,100.0,100.0,50.0
gemma-3-12b-it,4,100.0,100.0,100.0,50.0
gemma-3-12b-it,8,100.0,100.0,100.0,50.0
gemma-3-12b-it,16,100.0,100.0,100.0,50.0
gemma-3-12b-it,32,100.0,100.0,100.0,50.0
gemma-3-12b-it,64,97.3076923076923,98.84615384615385,95.76923076923077,49.209486166007906
gemma-3-12b-it,128,68.75,58.269230769230774,79.23076923076923,57.62237762237762
gemma-3-12b-it,256,25.288461538461537,13.26923076923077,37.30769230769231,73.76425855513308
